Sr. No.,word,degree,closeness,betweenness
3,media,3,0.006711409,200
14,bihar,2,0.006756757,169
21,saw,2,0.006711409,168
19,modi,2,0.006578947,165
25,wave,2,0.006369427,160
15,despite,2,0.006097561,153
20,rjd,2,0.005780347,144
8,sold,2,0.00625,133
16,getting,2,0.005434783,133
4,byjus,2,0.005780347,120
17,highest,2,0.005076142,120
10,whitehatjr,2,0.005319149,105
11,vote,2,0.004716981,105
6,lets,2,0.004878049,88
23,share,2,0.004366812,88
1,indian,3,0.005952381,71
5,expose,2,0.004464286,69
13,becoming,2,0.004032258,69
22,scam,2,0.004081633,48
24,single,2,0.003717472,48
7,since,2,0.005235602,25
12,also,2,0.003731343,25
18,largest,2,0.003424658,25
2,per,1,0.005181347,0
9,thread,1,0.00462963,0
26,find,1,0.003412969,0
27,party,1,0.003154574,0
